Welcome To GreaterWMS
2024-02-11 17:02:02,680 INFO     Starting server at tcp:port=8008:interface=0.0.0.0
2024-02-11 17:02:02,682 INFO     HTTP/2 support enabled
2024-02-11 17:02:02,682 INFO     Configuring endpoint tcp:port=8008:interface=0.0.0.0
2024-02-11 17:02:02,684 INFO     Listening on TCP address 0.0.0.0:8008
Welcome To GreaterWMS
2024-02-11 17:03:57,310 INFO     Starting server at tcp:port=8008:interface=0.0.0.0
2024-02-11 17:03:57,311 INFO     HTTP/2 support enabled
2024-02-11 17:03:57,312 INFO     Configuring endpoint tcp:port=8008:interface=0.0.0.0
2024-02-11 17:03:57,314 INFO     Listening on TCP address 0.0.0.0:8008
172.18.0.1:36050 - - [11/Feb/2024:17:10:08] "GET /js/62.846260f9.js" 200 361455
172.18.0.1:56430 - - [11/Feb/2024:17:10:08] "GET /css/2.74c09acd.css" 200 107
172.18.0.1:36062 - - [11/Feb/2024:17:10:08] "GET /js/2.3f459fa1.js" 200 27711
172.18.0.1:36050 - - [11/Feb/2024:17:10:09] "GET /statics/icons/GitHub.png" 200 8624
172.18.0.1:36062 - - [11/Feb/2024:17:10:09] "GET /statics/icons/android.png" 200 7470
172.18.0.1:56430 - - [11/Feb/2024:17:10:09] "GET /statics/icons/IOS.png" 200 3161
172.18.0.1:56430 - - [11/Feb/2024:17:10:11] "GET /warehouse/multiple/?max_page=30" 200 380
172.18.0.1:36062 - - [11/Feb/2024:17:10:11] "GET /staff/?staff_name=bachir" 200 238
172.18.0.1:36062 - - [11/Feb/2024:17:10:13] "GET /statics/icons/logout.png" 200 3153
172.18.0.1:56430 - - [11/Feb/2024:17:10:13] "GET /statics/staff/stafftype.png" 200 5872
172.18.0.1:36050 - - [11/Feb/2024:17:10:16] "GET /" 200 907
172.18.0.1:58828 - - [11/Feb/2024:17:10:17] "GET /css/app.45730797.css" 200 1376
172.18.0.1:36050 - - [11/Feb/2024:17:10:17] "GET /css/vendor.2ac1ba6a.css" 200 208815
172.18.0.1:36062 - - [11/Feb/2024:17:10:17] "GET /js/app.d0fc56b0.js" 200 269795
172.18.0.1:56430 - - [11/Feb/2024:17:10:17] "GET /js/vendor.4a49a306.js" 200 2250242
172.18.0.1:36062 - - [11/Feb/2024:17:10:18] "GET /statics/baseurl.txt" 200 23
172.18.0.1:36050 - - [11/Feb/2024:17:10:19] "GET /js/62.846260f9.js" 200 361455
172.18.0.1:36062 - - [11/Feb/2024:17:10:19] "GET /js/2.3f459fa1.js" 200 27711
172.18.0.1:58828 - - [11/Feb/2024:17:10:19] "GET /css/2.74c09acd.css" 200 107
